"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\home\SelectBar.tsx", "TypeScript JSX", 0, 0, 63, 0, 0, 4, 6, 73
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\home\index.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\home\model\AbstractInfo.tsx", "TypeScript JSX", 0, 0, 133, 0, 0, 0, 3, 136
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\home\model\DetailInfo.tsx", "TypeScript JSX", 0, 0, 177, 0, 0, 1, 3, 181
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\home\model\ModelPrompt.tsx", "TypeScript JSX", 0, 0, 106, 0, 0, 0, 3, 109
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\home\model\ModelScene.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 1, 4, 41
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\home\model\Widgets.tsx", "TypeScript JSX", 0, 0, 67, 0, 0, 0, 5, 72
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\home\model\index.tsx", "TypeScript JSX", 0, 0, 150, 0, 0, 1, 4, 155
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\identify\ARIdentifyModel.tsx", "TypeScript JSX", 0, 0, 63, 0, 0, 0, 5, 68
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\identify\IdentifyPrompt.tsx", "TypeScript JSX", 0, 0, 109, 0, 0, 0, 3, 112
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\identify\IdentifyScene.tsx", "TypeScript JSX", 0, 0, 47, 0, 0, 0, 3, 50
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\identify\InfoCard.tsx", "TypeScript JSX", 0, 0, 103, 0, 0, 0, 6, 109
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\identify\InfoTip.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 0, 4, 70
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\identify\Widgets.tsx", "TypeScript JSX", 0, 0, 50, 0, 0, 0, 4, 54
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\identify\index.tsx", "TypeScript JSX", 0, 0, 125, 0, 0, 1, 6, 132
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\index.tsx", "TypeScript JSX", 0, 0, 136, 0, 0, 0, 5, 141
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\preview\PreviewPrompt.tsx", "TypeScript JSX", 0, 0, 130, 0, 0, 0, 3, 133
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\preview\Widgets.tsx", "TypeScript JSX", 0, 0, 60, 0, 0, 0, 4, 64
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\preview\index.tsx", "TypeScript JSX", 0, 0, 168, 0, 0, 1, 4, 173
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\upload\identify\IdentifyConfirmDialog.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 0, 3, 69
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\upload\identify\index.tsx", "TypeScript JSX", 0, 0, 108, 0, 0, 0, 5, 113
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\upload\index.tsx", "TypeScript JSX", 0, 0, 74, 0, 0, 0, 4, 78
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\upload\model\ModelConfirmDialog.tsx", "TypeScript JSX", 0, 0, 68, 0, 0, 0, 3, 71
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\app\upload\model\index.tsx", "TypeScript JSX", 0, 0, 167, 0, 0, 0, 4, 171
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\index\TestScene.tsx", "TypeScript JSX", 0, 0, 122, 0, 0, 0, 6, 128
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\index\index.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 3, 44
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\login\LoginScene.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 3, 41
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\login\index.tsx", "TypeScript JSX", 0, 0, 166, 0, 0, 1, 5, 172
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\registry\RegistryScene.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 3, 41
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\screens\registry\index.tsx", "TypeScript JSX", 0, 0, 175, 0, 0, 10, 9, 194
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\store\features\accountSlice.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\store\features\appSlice.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\store\features\homeSlice.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\store\features\identifySlice.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 4, 60
